icao,name,callsign,country
RQX,Air Engiadina-BRN,Engiadina,Switzerland
RRA,Royal Rwanda Airlines,ROYAL RWANDA,Rwanda
RRC,Aero Roca,AEROROCA,Mexico
RRE,Aerotransportes Internacionales De Torreon,AERO TORREON,Mexico
RRF,Royal Air Force,KITTY,United Kingdom
RRJ,AirRussia,russiancloud,Russia
RRL,Rolls-Royce Limited,MERLIN,United Kingdom
RRM,Acvila Air-Romanian Carrier,AIR ROMANIA,Romania
RRR,Royal Air Force,ASCOT,United Kingdom
RRS,Boscombe Down DERA (Formation),BLACKBOX,United Kingdom
RRT,Transportes Aereos Sierra,SIERRA ALTA,Mexico
RRU,Cirrus,HELICIRRUS,Chile
RRV,Mombasa Air Safari,SKYROVER,Kenya
RRY,Tbilisi Aviation University,AIRFERRY,Georgia
RRZ,Rollright Aviation,ROLLRIGHT,United Kingdom
RSA,Elisra Airlines,ESRA,Sudan
RSB,Rubystar,RUBYSTAR,Belarus
RSC,Aerolineas Ejecutivas Tarascas,TARASCAS,Mexico
RSD,Russia State Transport,STATE AERO,Russia
RSE,SNAS Aviation,RED SEA,Saudi Arabia
RSF,Royal Saudi Air Force,ARSAF,Saudi Arabia
RSH,Air Sahara,SAHARA,India
RSI,Air Sunshine,AIR SUNSHINE,United States
RSJ,RusJet,,Russia
RSK,DSWA,REDSKIN,United States
RSL,Rio Sul Servi,RIO SUL,Brazil
RSM,Air Somalia,AIR SOMALIA,Somali Republic
RSN,Royal Swazi National Airways,SWAZI NATIONAL,Swaziland
RSO,Aero Asia International,AERO ASIA,Pakistan
RSP,Jet Suite,Red Stripe,United States
RSQ,International SOS WIndhoek,SKYMEDIC,Namibia
RSR,Aero-Service,CONGOSERV,Republic of the Congo
RSS,Rossair,ROSS CHARTER,South Africa
RST,Resort Air,RESORT AIR,United States
RSU,Aerosur,AEROSUR,Bolivia
RSV,Red Sky Ventures,RED SKY,Namibia
RSY,I-Fly,RUSSIAN SKY,Russia
RTE,Aeronorte,LUZAVIA,Portugal
RTH,Artis,ARTHELICO,France
RTL,Rheintalflug,Rheintal,Austria
RTM,Trans Am Compania,AERO TRANSAM,Ecuador
RTN,Raytheon Aircraft Company,RAYTHEON,United States
RTO,Arhabaev Tourism Airlines,ARTOAIR,Kazakhstan
RTQ,Air Turquoise,TURQUOISE,France
RTR,Rotatur,ROTATUR,Brazil
RTS,Relief Transport Services,RELIEF,United Kingdom
RTU,Aerotucan,AEROTUCAN,Mexico
RTV,Nortavia,TIC-TAC,Portugal
RUA,Rwanda Airlines,,Rwanda
RUC,Rutas Aereas,RUTACA,Venezuela
RUD,Air Anastasia,ANASTASIA,Ukraine
RUE,Rainbow Air Euro,Rainbow Air,United Kingdom
RUH,Rusich-T,,Russia
RUM,Air Rum,AIR RUM,Sierra Leone
RUN,ACT Havayollari,CARGO TURK,Turkey
RUR,Rusaero,,Russia
RUS,Cirrus Airlines,CIRRUS AIR,Germany
RUZ,Rusuertol,ROSTUERTOL,Russia
RVC,Richards Aviation,RIVER CITY,United States
RVE,Airventure,AIRVENTURE,Belgium
RVI,Aero Servicios,AERO SERVICIOS,Mexico
RVL,Airvallee,AIR VALLEE,Italy
RVM,River Ministries Air Charter,RIVER,South Africa
RVN,Raven Air,RAVEN U-S,United States
RVP,Air VIP,AEROVIP,Portugal
RVR,Raven Air,RAVEN,United Kingdom
RVT,Aircompany Veteran,AIR-VET,Armenia
RVV,Reeve Aleutian Airways,REEVE,United States
RWA,Rwanda Airways,,Rwanda
RWB,Alliance Express Rwanda,,Rwanda
RWC,Arrow Ecuador Arrowec,ARROWEC,Ecuador
RWD,Rwandair Express,RWANDAIR,Rwanda
RWE,Royal West Airlines,ROYAL WEST,United States
RWG,C&M Airways,RED WING,United States
RWL,RWL Luftfahrtgesellschaft,RHEINTRAINER,Germany
RWS,Air Whitsunday,,Australia
RWW,Fly Europa,,Spain
RWY,Aerogroup 98 Limited,TYNWALD,United Kingdom
RWZ,Red Wings,AIR RED,Russia
RXA,Regional Express,REX,Australia
RXP,Royal Aviation Express,ROY EXPRESS,Canada
RXR,REXAIR VIRTUEL,Rexair,France
RXT,Aeroxtra,AERO-EXTRA,Mexico
RXX,Express Air Charter,REX AIR,Canada
RYA,Ryan Air Services,RYAN AIR,United States
RYB,Royal Bahrain Airlines,ROYAL BAHRAIN,Bahrain
RYL,Royal Aruban Airline,ROYAL ARUBAN,Aruba
RYN,Ryan International Airlines,RYAN INTERNATIONAL,United States
RYR,Ryanair,RYANAIR,Ireland
RYS,Royal Sky,ROYAL SKY,Thailand
RYT,Raya Jet,,Jordan
RYZ,Ryazan State Air Enterprise,RYAZAN AIR,Russia
RZA,Jet Fighter Flights,RAZOR,Australia
RZL,Aero Zambia,AERO ZAMBIA,Zambia
RZN,Aero Zano,ZANO,Mexico
RZO,SATA International,AIR AZORES,Portugal
RZR,Zephyr Express,RECOVERY,United States
RZV,Z-Avia,ZEDAVIA,Armenia
RZZ,Anoka Air Charter,RED ZONE,United States
SAA,South African Airways,SPRINGBOK,South Africa
SAB,Sky Way Air,SKY WORKER,Kyrgyzstan
SAC,SASCO Airlines,SASCO,Sudan
SAE,SOCHI AIR EXPRESS,ADLER EXPRESS,Russia
SAF,Republic of Singapore Air Force,SINGA,Singapore
SAG,SOS Flygambulans,MEDICAL AIR,Sweden
SAH,Sayakhat Airlines,SAYAKHAT,Kazakhstan
SAI,Shaheen Air International,SHAHEEN AIR,Pakistan
SAJ,Golden Eagle Air Services (FAA),SAJEN,Canada
SAK,Red Arrows Display Squadron,RED ARROWS,United Kingdom
SAL,Spike Airlines,Spike Air,United States
SAM,SAM Colombia,SAM,Colombia
SAN,Servicios Aereos Nacionales (SAN),AEREOS,Ecuador
SAO,Sahel Aviation Service,SAVSER,Mali
SAP,Avia Jaynar,TOBOL,Kazakhstan
SAQ,Springbank Aviation,SPRINGBANK,Canada
SAS,Scandinavian Airlines System,SCANDINAVIAN,Sweden
SAT,SATA Air Acores,SATA,Portugal
SAU,United Aviation Services,UNISERVE,Spain
SAV,Samal Air,,Kazakhstan
SAW,Sham Wing Airlines,SHAMWING,Syrian Arab Republic
SAX,Sabah Air,SABAH AIR,Malaysia
SAY,ScotAirways,SUCKLING,United Kingdom
SAZ,Swiss Air-Ambulance,SWISS AMBULANCE,Switzerland
SBA,STA-MALI,STA-MALI,Mali
SBB,Steinman Aviation,SABER EXPRESS,United States
SBC,Emoyeni Air Charter,SABIAN AIR,South Africa
SBD,Snowbird Airlines,,Finland
SBF,Seven Bar Flying Service,S-BAR,United States
SBG,Sabre Incorporated,,United States
SBH,Aerosaab,AEROSAAB,Mexico
SBI,S7 Airlines,SIBERIAN AIRLINES,Russia
SBJ,Trans Sahara Air,TRANS SAHARA,Nigeria
SBK,Air Srpska,Air Srpska,Bosnia and Herzegovina
SBL,Sobel Airlines of Ghana,SOBGHANA,Ghana
SBM,Sky Bahamas,SKY BAHAMAS,Bahamas
SBO,Stabo Air,STABAIR,Zambia
SBQ,Smithkline Beacham Clinical Labs,SKIBBLE,United States
SBR,Saber Aviation,FREIGHTER,United States
SBS,Seaborne Airlines,SEABORNE,United States
SBT,Taftan Airlines,TAFTAN,Iran
SBU,Saint Barth Commuter,BLACK FIN,France
SBX,North Star Air Cargo,SKY BOX,United States
SBZ,Scibe Airlift,SCIBE AIRLIFT,Democratic Republic of the Congo
SCA,South Central Air,SOUTH CENTRAL,United States
SCC,Seacoast Airlines,SEA-COASTER,United States
SCD,Associated Aviation,ASSOCIATED,Nigeria
SCE,Scenic Airlines,SCENIC,United States
SCF,Socofer,SOCOFER,Angola
SCH,CHC Airways,,Netherlands
SCI,Servicios Aereos San Cristobal,SAN CRISTOBAL,Mexico
SCJ,Business Jet Sweden,SCANJET,Sweden
SCK,Sky Cam,SKYCAM,France
SCL,Switfair Cargo,SWIFTAIR,Canada
SCM,American Jet International,SCREAMER,United States
SCN,South American Airlines,SOUTH AMERICAN,Peru
SCO,Scoot,,Singapore
SCP,Scorpio,SCORPIO,Egypt
SCR,Si-Chang Flying Service,SICHART,Thailand
SCS,South African Non Scheduled Airways,SOUTHERN CHARTERS,South Africa
SCT,SAAB-Aircraft,SAAB-CRAFT,Sweden
SCU,Air Scorpio,SCORPIO UNIVERS,Bulgaria
SCV,Servicios Aereos Del Centro,SACSA,Mexico
SCW,Malmö Aviation,Scanwings,Sweden
SCX,Sun Country Airlines,SUN COUNTRY,United States
SDA,St. Andrews Airways,SAINT ANDREWS,Canada
SDB,Sukhoi Design Bureau Company,SU-CRAFT,Russia
SDC,Sunrise Airlines,SUNDANCE,United States
SDD,Skymaster Air Taxi,SKY DANCE,United States
SDF,Sundorph Aeronautical Corporation,SUNDORPH,United States
SDH,Servicio De Helicopteros,ARCOS,Spain
SDI,San Dima Air,FAREFLIGHT,United States
SDJ,Club 328,SPACEJET,United Kingdom
SDK,SADELCA - Sociedad Aerea Del Caqueta,SADELCA,Colombia
SDL,Skydrift,SKYDRIFT,United Kingdom
SDM,Rossiya-Russian Airlines,PULKOVO,Russia
SDN,Spirit of Africa Airlines,BLUE NILE,Sudan
SDO,Air Santo Domingo,AERO DOMINGO,Dominican Republic
SDP,Aero Sudpacifico,SUDPACIFICO,Mexico
SDR,City Airline,SWEDESTAR,Sweden
SDS,United Kingdom Civil Aviation Authority,STANDARDS,United Kingdom
SDU,Sud Airlines,SUD LINES,France
SDV,Servicios Aereos Del Vaupes,SELVA,Colombia
SDX,Servicio Tecnico Aero De Mexico,SERVICIO TECNICO,Mexico
SDY,Island Express,SANDY ISLE,United States
SDZ,Sudan Pezetel for Aviation,SUDANA,Sudan
SEA,Southeast Air,SOUTHEAST AIR,United States
SEB,Servicios Aereos Luce,SERVILUCE,Mexico
SEC,3D Aviation,SECUREX,United States
SED,Sedona Air Center,SEDONA AIR,United States
SEE,Shaheen Air Cargo,SHAHEEN CARGO,Pakistan
SEF,Aero Servicios Ejecutivas Del Pacifico,SERVIPACIFICO,Mexico
SEG,Eagle International,SEN-EAGLE,Senegal
SEH,Sky Express,AIR CRETE,Greece
SEI,Transportes Aereos Sierra Madre,TRANSPORTE SIERRA,Mexico
SEJ,Spicejet,SPICEJET,India
SEK,Skyjet,SKALA,Kazakhstan
SEL,Sentel Corporation,SENTEL,United States
SEM,Cape Central Airways,SEMO,United States
SEN,Sevenair,SEVENAIR,Tunisia
SEO,Selcon Airlines,SELCON AIR,Nigeria
SEQ,Sky Eyes,SKY EYES,Thailand
SER,Aero California,AEROCALIFORNIA,Mexico
SES,Servicio Aereo Saltillo,SERVISAL,Mexico
SET,SAETA,SAETA,Ecuador
SEU,XL Airways France,STARWAY,France
SEV,Serair Transworld Press,CARGOPRESS,Spain
SEY,Air Seychelles,SEYCHELLES,Seychelles
SFA,SEFA,SEFA,France
SFB,Air Sofia,AIR SOFIA,Bulgaria
SFC,Shuswap Flight Centre,SHUSWAP,Canada
SFE,Sefofane Air Charters,SEFOFANE,South Africa
SFF,Safewings Aviation Company,SWIFTWING,United States
SFG,Sun Freight Logistics,AERO GULF,Thailand
SFJ,Star Flyer,STARFLYER,Japan
SFL,Southflight Aviation,SOUTHFLIGHT,New Zealand
SFM,A-Safar Air Services,AIR SAFAR,Nigeria
SFN,Safiran Airlines,SAFIRAN,Iran
SFP,Safe Air,SAFE AIR,Pakistan
SFR,Safair,CARGO,South Africa
SFS,Southern Frontier Air Transport,SOUTHERN FRONTIER,Canada
SFT,Skyfreight,SKYFREIGHT,United States
SFU,Solent Flight,SAINTS,United Kingdom
SFX,S.K. Logistics,SWAMP FOX,United States
SFY,Gulf Flite Center,SKY FLITE,United States
SGA,Air Saigon,AIR SAIGON,Vietnam
SGB,Sky King,SONGBIRD,United States
SGC,Southern Right Air Charter,SOUTHERNRIGHT,South Africa
SGD,Sky Gate International Aviation,AIR BISHKEK,Kyrgyzstan
SGF,STAC Swiss Government Flights,STAC,Switzerland
SGG,Senegal Airlines,,Senegal
SGH,Servisair,SERVISAIR,United Kingdom
SGI,Servicios Aereos Agricolas,SERAGRI,Chile
SGK,Skyward Aviation,SKYWARD,Canada
SGM,Sky Aircraft Service,SIGMA,Netherlands
SGN,Siam GA,SIAM,Thailand
SGP,Sagolair Transportes Ejecutivos,SAGOLAIR,Spain
SGR,Eastwind Airlines,STINGER,United States
SGS,Saskatchewan Government Executive Air Service,SASKATCHEWAN,Canada
SGT,Skygate,SKYGATE,Netherlands
SGU,Samgau,RAUSHAN,Kazakhstan
SGV,Aerosegovia,SEGOVIA,Nicaragua
SGX,Saga Airlines,,Turkey
SGY,Skagway Air Service,SKAGWAY AIR,United States
SHA,Sharp Airlines,SHARP,Australia
SHB,Shabair,SHABAIR,Democratic Republic of the Congo
SHC,Sky Harbor Air Service,SKY HARBOR CHEYENNE,United States
SHD,Sahara Airlines,,Algeria
SHE,Shell Aircraft,SHELL,United Kingdom
SHF,Royal Air Force,VORTEX,United Kingdom
SHG,Shoprite Group,SHOP AIR,United Kingdom
SHH,Airshare Holdings,AIRSHARE,United Kingdom
SHI,Seoul Air International,SEOUL AIR,Republic of Korea
SHJ,Sharjah Ruler's Flight,SHARJAH,United Arab Emirates
SHK,Shorouk Air,,Egypt
SHL,Samson Aviation,SAMSON,United Kingdom
SHM,Sheltam Aviation,SHELTAM,South Africa
SHN,Shaheen Airport Services,SUGAR ALFA,Pakistan
SHO,Sheremetyevo-Cargo,,Russia
SHP,Service Aerien Francais,SAF,France
SHQ,Shanghai Airlines Cargo,SHANGHAI CARGO,China
SHR,Shooter Air Courier,SHOOTER,Canada
SHS,Shura Air Transport Services,SHURA AIR,Ethiopia
SHT,British Airways Shuttle,SHUTTLE,United Kingdom
SHU,Sakhalinskie Aviatrassy (SAT),SATAIR,Russia
SHV,Shavano Air,SHAVANO,United States
SHW,Shawnee Airline,SHAWNEE,United States
SHX,Slim Aviation Services,SLIM AIR,Nigeria
SHY,Sky Airlines,ANTALYA BIRD,Turkey
SIA,Singapore Airlines,SINGAPORE,Singapore
SIB,Sibaviatrans,SIBAVIA,Russia
SIE,Sierra Express,SEREX,United States
SIH,Skynet Airlines,BLUEJET,Ireland
SII,Aero Servicios Ejecutivos Internacionales,ASEISA,Mexico
SIJ,Seco International,,Japan
SIL,Servicios Aeronauticos Integrales,SERVICIOS INTEGRALES,Mexico
SIM,Star Air,,Sierra Leone
SIO,Sirio,SIRIO,Italy
SIP,Air Spirit,AIR SPIRIT,United States
SIR,Salair,SALAIR,United States
SIS,Saber Airlines,,Egypt
SIT,SITA,,Belgium
SIV,Slovenian Armed Forces,SLOVENIAN,Slovenia
SIW,Sirio Executive,SIRIO EXECUTIVE,Italy
SIY,Aerosiyusa,SIYUSA,Mexico
SIZ,Aero Silza,AEROSILZA,Mexico
SJA,Servicios Aereos Especiales De Jalisco,SERVICIOJAL,Mexico
SJC,Servicios Ejecutivos Continental,SERVIEJECUTIVO,Mexico
SJE,Sunair 2001,SUNBIZ,South Africa
SJJ,Spirit Aviation,SPIRIT JET,United States
SJL,Servicios Especiales Del Pacifico Jalisco,SERVICIOS JALISCO,Mexico
SJM,Svyaz Rossiya,RussianConnecty,Russia
SJN,Air San Juan,SAN JUAN,United States
SJO,Spring Airlines Japan,,Japan
SJS,Southjet,,United States
SJT,Swiss Jet,SWISS JET,Switzerland
SJU,Skyjet Airlines,SKYJET,Uganda
SJY,Sriwijaya Air,SRIWIJAYA,Indonesia
SKA,Rio Air Express,RIO EXPRESS,Brazil
SKB,Skybus Airlines,SKYBUS,United States
SKC,Skymaster Air Lines,SKYMASTER AIR,United States
SKD,Sky Harbor Air Service,SKY DAWG,United States
SKE,Sky Tours,SKYISLE,United States
SKF,Skycraft,SKYCRAFT,United States
SKG,Skycraft Air Transport,SKYCRAFT-CANADA,Canada
SKH,British Sky Broadcasting,SKYNEWS,United Kingdom
SKI,SkyKing Turks and Caicos Airways,SKYKING,Turks and Caicos Islands
SKK,Skylink Aviation,SKYLINK,Canada
SKL,Skycharter (Malton),SKYCHARTER,Canada
SKM,Fayetteville Flying Service and Scheduled Skyways System,SKYTEM,United States
SKN,Skyline Aviation Services,SKYLINER,United States
SKO,Scottish Airways Flyers,SKYWORK,United Kingdom
SKP,Aero-North Aviation Services,SKIPPER,Canada
SKQ,Labcorp,SKYLAB,United States
SKR,Skyscapes Air Charters,SKYSCAPES,South Africa
SKS,Sky Service,SKY SERVICE,Belgium
SKT,Skystar Airways,SKY YOU,Thailand
SKU,Sky Airline,AEROSKY,Chile
SKV,Sky Regional Airlines,Maple,Canada
SKW,SkyWest,SKYWEST,United States
SKX,Skyways Express,SKY EXPRESS,Sweden
SKY,Skymark Airlines,SKYMARK,Japan
SKZ,Skyway Enterprises,SKYWAY-INC,United States
SLA,Sierra National Airlines,SELAIR,Sierra Leone
SLB,Slok Air,SLOK AIR,Nigeria
SLC,Salsa d\\'Haiti,SALSA,Haiti
SLD,Silver Air,SILVERLINE,Czech Republic
SLE,Streamline,SLIPSTREAM,South Africa
SLF,Starfly,ELISTARFLY,Italy
SLG,Saskatchewan Government,LIFEGUARD,Canada
SLH,Silverhawk Aviation,SILVERHAWK,United States
SLI,Aerolitoral,COSTERA,Mexico
SLK,SilkAir,SILKAIR,Singapore
SLL,Slovak Airlines,SLOV LINE,Slovakia
SLM,Surinam Airways,SURINAM,Suriname
SLN,Sloane Aviation,SLOANE,United Kingdom
SLO,Edgartown Air,SLOW,United States
SLP,Salpa Aviation,SALPA,Sudan
SLS,Servicios Aereos Slainte,SERVICIOS SLAINTE,Mexico
SLU,Avio Sluzba,AVIO SLUZBA,Serbia
SLV,Stella Aviation,AVISTELLA,Mauritania
SLW,Salama Airlines Nigeria,SALMA AIR,Nigeria
SLX,Sete Linhas Aereas,SETE,Brazil
SLY,Sky Line for Air Services,SKYCO,Sudan
SLZ,Super Luza,LUZA,Angola
SMA,SMA Airlines,SESAME,Nigeria
SMC,Sabang Merauke Raya Air Charter,SAMER,Indonesia
SMD,Servicios Aereos La Marquesa,SERVICIOS MARQUESA,Mexico
SME,Semos,SEMICH,Kazakhstan
SMF,Smalandsflyg,GORDON,Sweden
SMG,RAF St Mawgan Search and Rescue,,United Kingdom
SMH,Smithair,SMITHAIR,United States
SMI,Aero Sami,SAMI,Mexico
SMJ,Avient Aviation,AVAVIA,Zimbabwe
SMK,Semeyavia,ERTIS,Kazakhstan
SML,Smith Air (1976),SMITH AIR,Canada
SMM,Summit Airlines,SUMMIT-AIR,United States
SMQ,Samar Air,SAMAR AIR,Tajikistan
SMR,Somon Air,SOMON AIR,Tajikistan
SMS,Linhas Aereas Santomenses,SANTOMENSES,S
SMT,Skyline,SKYLIMIT,Nigeria
SMW,Carpatair Flight Training,Smartwings,Romania
SMX,Alitalia Express,ALIEXPRESS,Italy
SMY,Sama Airlines,NAJIM,Saudi Arabia
SMZ,RAF Scampton,SCAMPTON,United Kingdom
SNA,Senator Aviation Charter,SENATOR,Germany
SNB,Sterling Airlines,STERLING,Denmark
SNC,Air Cargo Carriers,NIGHT CARGO,United States
SND,Air Samarkand,ARSAM,Uzbekistan
SNE,Servicios Aereos De Nicaragua (SANSA),SANSA,Nicaragua
SNF,Shans Air,SHANS AIR,Russia
SNG,Air Senegal International,AIR SENEGAL,Senegal
SNH,Senair Services,SENSERVICE,Senegal
SNI,Savanah Airlines,SAVANAHLINE,Nigeria
SNJ,Skynet Asia Airways,NEWSKY,Japan
SNK,Southeast Airlines (Sun Jet International),SUN KING,United States
SNL,Soonair Lines,SOONAIR,United States
SNM,Servizi Aerei,SERVIZI AEREI,Italy
SNO,Delta Air Charter,SNOWBALL,Canada
SNP,Sun Pacific International,SUN PACIFIC,United States
SNQ,Sun Quest Executive Air Charter,EXECU-QUEST,United States
SNS,Societe Centrafricaine De Transport Aerien,,Central African Republic
SNT,Suncoast Aviation,SUNCOAST,United States
SNU,Snunit Aviation,,Israel
SNV,Sudanese States Aviation,SUDANESE,Sudan
SNW,Sun West Airlines,SUN WEST,United States
SNX,Sun Air Aviation Services,SUNEX,Canada
SNY,Air Sandy,AIR SANDY,Canada
SOA,Southern Air Charter,,Bahamas
SOB,Stabo Freight,STABO,Zambia
SOC,Southern Cargo Air Lines,,Russia
SOD,Aerolineas Sol,ALSOL,Mexico
SOE,Air Soleil,AIR SOLEIL,Mauritania
SOG,Aero Soga,AEROSOGA,Guinea-Bissau
SOH,Southern Ohio Aviation Sales,SOUTHERN OHIO,United States
SOI,Southern Aviation,SOAVAIR,Zambia
SOL,Solomon Airlines,SOLOMON,Solomon Islands
SOM,Somali Airlines,SOMALAIR,Somali Republic
SON,Sunshine Air Tours,SUNSHINE TOURS,United States
SOO,Southern Air,SOUTHERN AIR,United States
SOP,Solinair,SOLINAIR,Slovenia
SOR,Sonair Servico Aereo,SONAIR,Angola
SOT,Southeast Correct Craft,SOUTH COURIER,United States
SOU,Southern Airways,SOUTHERN EXPRESS,United States
SOV,Saratov Aviation Division,SARATOV AIR,Russia
SOW,Sowind Air,SOWIND,Canada
SOX,Solid Air,SOLIDAIR,Netherland
SOY,Island Aviation,SORIANO,Philippines
SOZ,Sat Airlines,SATCO,Kazakhstan
SPA,Sierra Pacific Airlines,SIERRA PACIFIC,United States
SPB,Springbok Classic Air,SPRING CLASSIC,South Africa
SPC,Skyworld Airlines,PORT,United States
SPD,Airspeed Aviation,SPEEDLINE,Canada
SPE,Sprague Electric Company,SPRAGUE,United States
SPF,Space World Airline,SPACE WORLD,Nigeria
SPG,Springdale Air Service,SPRING AIR,United States
SPH,Sapphire Executive Air,SAPPHIRE-CHARTER,South Africa
SPI,South Pacific Island Airways,SOUTH PACIFIC,United States
SPJ,Air Service,AIR SKOPJE,Macedonia
SPK,Diamond Aviation,SPARKLE,United States
SPL,Servicios Corporativos Aereos De La Laguna,CORPORATIVOS LAGUNA,Mexico
SPM,Air Saint Pierre,,France
SPN,Skorpion Air,AIR SKORPIO,Bulgaria
SPO,Aeroservicios Ejecutivos Del Pacifico,EJECTUIV PACIFICO,Mexico
SPP,Sapphire Aviation,SAPPHIRE,United States
SPQ,Servicios Aereos Palenque,SERVICOS PALENQUE,Mexico
SPR,Provincial Airlines,SPEEDAIR,Canada
SPS,SPASA,SALDUERO,Spain
SPT,Speed Aviation,SPEED AVIATION,Bangladesh
SPU,Southeast Airmotive,SPUTTER,United States
SPV,Servicios Privados De Aviacion,SERVICIOS PRIVADOS,Mexico
SPW,Speedwings,SPEEDWING,Switzerland
SPX,Service People Gesselschaft fur Charter und Service,,Germany
SPY,Asian Aerospace Service,THAI SPACE,Thailand
SPZ,Airworld,SPEED SERVICE,South Africa
SQA,Slovak National Aeroclub,SLOVAK AEROCLUB,Slovakia
SQC,Singapore Airlines Cargo,SINGCARGO,Singapore
SQF,Slovak Air Force,SLOVAK AIRFORCE,Slovakia
SQH,SeaPort Airlines,SASQUATCH,United States
SQL,Servicos De Alquiler,ALQUILER,Mexico
SQR,Alsaqer Aviation,ALSAQER AVIATION,Libya
SRA,Sair Aviation,SAIR,Canada
SRB,Solar Air,Solar Air,Thailand
SRC,Searca,SEARCA,Colombia
SRD,Search and Rescue 22,,United Kingdom
SRF,Transportes Aereos San Rafael,SAN RAFEAL,Chile
SRG,Search and Rescue 202,,United Kingdom
SRH,Siem Reap Airways,SIEMREAP AIR,Cambodia
SRI,Air Safaris and Services,AIRSAFARI,New Zealand
SRJ,C Air Jet Airlines,SYRJET,Syrian Arab Republic
SRK,Sky Work Airlines,SKYFOX,Switzerland
SRL,Servicios Aeronauticos Aero Personal,SERVICIOS PERSONAL,Mexico
SRN,Sprintair,,Poland
SRO,Servicios Aereos Ejecutivos Saereo,SAEREO,Ecuador
SRP,Polizeihubschrafterstaffel Rheinland-Pfalz,SPERBER,Germany
SRQ,South East Asian Airlines,SEAIR,Philippines
SRR,Star Air,WHITESTAR,Denmark
SRS,Selkirk Remote Sensing,PHOTO CHARLIE,Canada
SRT,Trans Asian Airlines,TRASER,Kazakhstan
SRU,Star Up,STAR-UP,Peru
SRV,Aero Servicio Corporativo,SERVICORP,Mexico
SRW,Sarit Airlines,SARIA,Sudan
SRX,Sierra Expressway Airlines,SIERRA EX,United States
SRY,ViaAir,Stingray,United States
SRZ,Strato Air Services,STRATO,South Africa
SSA,All America US,,United States
SSB,Sasair,SASIR,Canada
SSC,Southern Seaplane,SOUTHERN SKIES,United States
SSD,Star Service International,STAR SERVICE,France
SSE,Servicios Aereos Sunset,SUNSET,Mexico
SSF,Severstal,SEVERSTAL,Russia
SSG,Slovak Government Flying Service,SLOVAK GOVERNMENT,Slovakia
SSH,Heritiage Flight (Valley Air Services),SNOWSHOE,United States
SSI,Vision Airlines,SUPER JET,Nigeria
SSK,Skystar International,SKYSTAR,United States
SSL,Air Sultan,SIERRA SULTAN,Sierra Leone
SSM,Aero 1 Pro-Jet,RAPID,Canada
SSN,Airquarius Air Charter,SUNSTREAM,South Africa
SSO,Special Scope Limited,DOPE,United Kingdom
SSP,Starspeed,STARSPEED,United Kingdom
SSQ,Sunstate Airlines,SUNSTATE,Australia
SSS,SAESA,SAESA,Spain
SST,Sunwest Airlines,SUNFLIGHT,Canada
SSU,SASCA,SASCA,Venezuela
SSV,Skyservice Airlines,SKYTOUR,Canada
SSW,Streamline Aviation,STREAMLINE,United Kingdom
SSX,Lynx Aviation (L3/SSX),Shasta,United States
SSY,Sky Aviation,SIERRA SKY,Sierra Leone
SSZ,Specsavers Aviation,SPECSAVERS,United Kingdom
STA,Star Aviation,STAR,United Kingdom
STB,Status-Alpha Airline,STATUS-ALPHA,Ukraine
STC,Stadium City Limited,STADIUM,United Kingdom
STD,Servicios De Aerotransportacion De Aguascalientes,AERO AGUASCALINETES,Mexico
STE,Semitool Europe,SEMITRANS,United Kingdom
STF,SFT-Sudanese Flight,,Sudan
STG,Sedalia, Marshall, Boonville Stage Line
STH,South-Airlines,,Armenia
STI,Sontair,SONTAIR,Canada
STJ,Sella Aviation,STELLAVIA,Netherlands
STK,Aeropac,SAT PAK,United States
STL,Stapleford Flight Centre,STAPLEFORD,United Kingdom
STN,RAF St Athan,SAINT ATHAN,UNited Kingdom
STO,Streamline Ops,SLOPS,Russia
STP,STP Airways,SAOTOME AIRWAYS,Sao Tome and Principe
STQ,Star Air,STERA,Indonesia
STR,Red Star,STARLINE,United Arab Emirates
STS,Starling Airlines Spain,STARLING,Spain
STT,Air St. Thomas,PARADISE,United States
STU,Servicios de Transportes A,FUEGUINO,Argentina
STV,Southern Aviation,SOUTHERN AVIATION,Ghana
STW,South West Air Corporation,SIERRA WHISKEY,Philippines
STX,Stars Away Aviation,STARSAWAY,South Africa
STY,Styrian Airways,STYRIAN,Austria
SUA,Silesia Air,AIR SILESIA,Czech Republic
SUB,Suburban Air Freight,SUB AIR,United States
SUD,Sudan Airways,SUDANAIR,Sudan
SUE,Aerolineas Del Sureste,AEROSURESTE,Mexico
SUF,Sun Air (Fiji),SUNFLOWER,Fiji
SUG,Sunu Air,SUNU AIR,Senegal
SUH,Sun Light,LIGHT AIR,Kyrgyzstan
SUI,Swiss Air Force,SWISS AIR FORCE,Switzerland
SUK,Superior Aviation Services,SKYCARGO,Kenya
SUM,State Unitary Air Enterprise,SUMES,Russia
SUN,Antillana De Navegacion Aerea,,Dominican Republic
SUO,Aeroservicios De San Luis,SERVICIO SANLUIS,Mexico
SUP,Aerosuper,AEROSUPER,Mexico
SUR,Sun Air,,Egypt
SUS,Sun Air of Scandinavia,SUNSCAN,Denmark
SUT,Sistemas Aeronauuticos 2000,SISTEMAS AERONAUTICOS,Mexico
SUU,Star West Aviation,SUNSTAR,United States
SUV,Sundance Air,DANCEAIR,Venezuela
SUW,Interavia Airlines,ASTAIR,Russia
SUY,Aerial Surveys (1980) Limited,SURVEY,New Zealand
